日期,开盘,最高,最低,收盘,成交量
2014-02-28,2159.58,2164.63,2123.26,2146.03,470505915
2014-03-03,2167.23,2167.56,2152.09,2154.13,134753402
2014-03-04,2195.02,2195.02,2150.32,2174.86,483075005
2014-03-05,2182.48,2182.48,2137.93,2166.24,197066095
2014-03-06,2153.75,2171.0,2123.62,2145.25,457790499
2014-03-07,2141.14,2141.14,2102.49,2126.97,308140678
2014-03-10,2141.71,2147.45,2128.16,2140.04,189272382
2014-03-11,2139.22,2163.02,2126.24,2133.13,223105537
2014-03-12,2129.47,2145.35,2120.89,2122.29,447784427
2014-03-13,2155.54,2165.05,2127.86,2139.61,221373235
2014-03-14,2132.14,2136.24,2120.31,2121.32,385515264
2014-03-17,2127.5,2127.5,2104.31,2113.37,316532321
2014-03-18,2136.98,2140.8,2120.35,2134.06,298588475
2014-03-19,2164.18,2174.14,2141.79,2150.24,130324176
2014-03-20,2166.25,2167.59,2132.19,2160.9,221477992
2014-03-21,2183.76,2190.64,2136.48,2167.39,445572035
2014-03-24,2199.69,2200.49,2177.96,2187.12,345180301
2014-03-25,2210.97,2222.48,2202.33,2203.94,404941970
2014-03-26,2194.27,2199.53,2186.88,2188.81,468019942
2014-03-27,2211.42,2211.42,2179.07,2193.16,430322279
2014-03-28,2201.36,2201.36,2152.22,2184.97,318488664
2014-03-31,2202.08,2220.73,2169.32,2197.75,475227977
2014-04-01,2205.04,2205.04,2178.06,2200.03,445947267
2014-04-02,2236.36,2236.36,2182.73,2214.35,220351293
2014-04-03,2248.35,2252.31,2211.61,2234.02,351648425
2014-04-04,2236.3,2250.35,2216.95,2222.18,345945852
2014-04-07,2218.11,2225.96,2193.7,2201.07,198374074
2014-04-08,2229.88,2229.88,2204.57,2215.01,487908367
2014-04-09,2243.74,2258.9,2223.86,2228.48,134306349
2014-04-10,2212.92,2213.03,2188.7,2208.28,301709434
2014-04-11,2216.54,2223.85,2173.51,2201.07,130714686
2014-04-14,2219.69,2249.18,2209.86,2216.71,226332092
2014-04-15,2231.15,2256.15,2224.18,2227.7,126289868
2014-04-16,2225.9,2225.9,2193.0,2214.78,157600369
2014-04-17,2223.69,2231.63,2207.17,2219.06,174643059
2014-04-18,2221.22,2238.93,2197.2,2208.36,438880586
2014-04-21,2234.38,2234.38,2183.21,2212.4,231265239
2014-04-22,2239.26,2245.03,2202.72,2225.33,416532685
2014-04-23,2230.76,2234.22,2215.65,2216.91,433961519
2014-04-24,2234.02,2250.59,2213.17,2219.75,272185925
2014-04-25,2249.58,2267.71,2234.59,2236.52,459185648
2014-04-28,2252.55,2252.55,2214.55,2238.87,313560377
2014-04-29,2243.86,2262.96,2214.52,2231.12,273027075
2014-04-30,2236.23,2236.23,2200.15,2226.85,300168007
2014-05-01,2228.34,2246.62,2218.99,2227.95,215669111
2014-05-02,2217.0,2225.76,2181.88,2210.86,189288608
2014-05-05,2206.25,2206.52,2168.35,2191.05,305483567
2014-05-06,2214.49,2214.49,2168.22,2199.62,163627022
2014-05-07,2219.4,2219.4,2178.6,2207.41,448847814
2014-05-08,2233.22,2242.52,2221.22,2221.34,200550481
2014-05-09,2244.92,2254.01,2228.68,2241.72,123005853
2014-05-12,2270.42,2275.05,2236.97,2261.3,259290266
2014-05-13,2269.04,2284.51,2246.77,2251.83,455083449
2014-05-14,2246.1,2249.42,2233.01,2242.13,493100469
2014-05-15,2247.18,2251.88,2213.09,2226.18,216145227
2014-05-16,2220.86,2226.49,2196.32,2217.66,308781553
2014-05-19,2241.89,2260.72,2212.79,2238.82,147369419
2014-05-20,2276.47,2281.35,2230.07,2257.53,328823227
2014-05-21,2276.89,2276.89,2232.6,2258.38,482416623
2014-05-22,2270.18,2276.58,2242.69,2252.12,213848352
2014-05-23,2280.92,2280.92,2255.91,2268.62,359410999
2014-05-26,2261.84,2277.8,2246.46,2254.28,137865297
2014-05-27,2292.49,2303.36,2268.52,2270.48,422451331
2014-05-28,2276.43,2277.41,2251.92,2260.21,179689052
2014-05-29,2289.88,2289.88,2247.76,2275.89,200838388
2014-05-30,2261.44,2281.92,2252.48,2254.31,103297907
2014-06-02,2253.02,2264.29,2219.68,2237.09,227181121
2014-06-03,2247.95,2247.95,2208.68,2235.78,323742669
2014-06-04,2233.1,2233.1,2196.47,2229.44,359323445
2014-06-05,2245.63,2254.13,2206.93,2237.48,350292850
2014-06-06,2239.3,2251.06,2203.94,2223.05,417311166
2014-06-09,2248.53,2252.95,2240.02,2242.73,100276599
2014-06-10,2255.91,2261.98,2224.37,2255.34,355699729
2014-06-11,2277.9,2284.04,2235.79,2259.77,279753524
2014-06-12,2262.67,2266.56,2250.93,2259.99,222956018
2014-06-13,2259.8,2259.8,2214.45,2238.46,199430280
2014-06-16,2245.96,2245.96,2216.85,2225.35,236982330
2014-06-17,2234.56,2234.88,2204.44,2224.94,102052531
2014-06-18,2206.14,2218.79,2178.25,2204.09,372877044
2014-06-19,2236.39,2236.39,2217.84,2224.9,262188735
2014-06-20,2226.84,2241.29,2203.23,2215.81,273180881
2014-06-23,2226.42,2226.71,2188.92,2219.49,173355688
2014-06-24,2245.35,2245.35,2221.25,2227.1,217899488
2014-06-25,2240.95,2254.27,2199.97,2230.97,303825266
2014-06-26,2242.23,2242.23,2194.78,2220.63,181134493
2014-06-27,2231.06,2231.06,2201.65,2216.29,244603051
2014-06-30,2200.08,2223.99,2180.97,2198.15,453969042
2014-07-01,2214.79,2214.79,2187.67,2193.82,342916221
2014-07-02,2200.89,2202.83,2173.26,2189.1,192260617
2014-07-03,2189.15,2189.15,2146.74,2173.52,215538063
2014-07-04,2169.57,2169.57,2148.69,2152.27,110096685
2014-07-07,2171.56,2194.73,2144.21,2171.46,236144765
2014-07-08,2180.44,2202.56,2159.84,2178.6,403219882
2014-07-09,2207.29,2219.53,2179.02,2191.38,429490552
2014-07-10,2217.51,2217.51,2165.01,2196.71,275578777
2014-07-11,2208.43,2208.43,2177.19,2195.39,372842836
2014-07-14,2184.82,2202.47,2159.07,2179.48,173589884
2014-07-15,2200.13,2200.13,2150.48,2181.47,233026368
2014-07-16,2208.98,2210.75,2187.96,2196.57,306203167
2014-07-17,2216.06,2224.86,2173.46,2198.43,312423776
2014-07-18,2193.49,2194.72,2158.83,2189.1,486200911
2014-07-21,2206.01,2206.01,2168.17,2195.56,164897848
2014-07-22,2207.43,2224.15,2170.46,2194.17,175170224
2014-07-23,2198.58,2198.58,2180.74,2182.03,308725514
2014-07-24,2212.96,2212.96,2170.44,2192.24,454762822
2014-07-25,2193.89,2212.45,2158.92,2182.3,169285623
2014-07-28,2192.51,2192.51,2170.03,2180.21,115061251
2014-07-29,2206.29,2211.98,2199.42,2200.43,343910145
2014-07-30,2220.13,2224.54,2197.94,2200.97,199913658
2014-07-31,2216.7,2223.4,2184.13,2214.68,295273036
2014-08-01,2223.13,2223.13,2199.93,2202.51,385008330
2014-08-04,2200.88,2222.66,2193.02,2198.55,102486302
2014-08-05,2213.77,2226.79,2209.79,2209.99,309577946
2014-08-06,2232.21,2242.75,2197.01,2222.89,318949381
2014-08-07,2262.27,2262.27,2240.77,2244.23,410011499
2014-08-08,2264.79,2270.7,2214.94,2246.43,214940899
2014-08-11,2273.69,2287.65,2243.31,2267.61,226359877
2014-08-12,2290.03,2290.03,2265.75,2274.32,437655793
2014-08-13,2283.69,2291.22,2260.64,2283.4,326952641
2014-08-14,2298.73,2320.67,2256.31,2290.39,102710356
2014-08-15,2294.86,2303.86,2267.3,2291.64,136861252
2014-08-18,2299.68,2305.47,2297.05,2299.17,331128375
2014-08-19,2295.64,2300.26,2260.18,2277.65,159531707
2014-08-20,2281.96,2287.24,2268.64,2270.23,427692818
2014-08-21,2310.36,2318.62,2269.44,2290.33,239857454
2014-08-22,2306.59,2316.25,2281.99,2295.38,290383446
2014-08-25,2329.74,2349.42,2285.49,2315.13,483701629
2014-08-26,2332.28,2345.65,2300.7,2317.49,433175429
2014-08-27,2352.73,2363.4,2313.4,2336.2,435111334
2014-08-28,2336.97,2347.07,2314.28,2315.05,307518522
2014-08-29,2313.2,2341.24,2305.32,2312.88,367786728
2014-09-01,2314.38,2315.11,2288.28,2310.93,307845903
2014-09-02,2300.52,2323.5,2287.84,2295.68,478017885
2014-09-03,2306.59,2319.3,2282.4,2301.41,116818496
2014-09-04,2300.27,2304.35,2285.07,2293.3,252292343
2014-09-05,2318.56,2322.33,2311.84,2315.29,343362973
2014-09-08,2348.85,2348.85,2298.42,2330.2,345404743
2014-09-09,2310.68,2322.52,2288.07,2310.4,371532356
2014-09-10,2335.88,2357.75,2303.12,2323.45,139707567
2014-09-11,2338.76,2371.87,2336.17,2337.8,440916922
2014-09-12,2363.07,2363.07,2320.21,2349.71,317090316
2014-09-15,2382.49,2392.57,2351.42,2371.72,201045083
2014-09-16,2385.62,2410.35,2345.69,2379.41,291001450
2014-09-17,2387.55,2416.98,2352.38,2386.43,497519775
2014-09-18,2383.57,2402.21,2345.68,2367.09,437081254
2014-09-19,2397.57,2410.6,2364.36,2379.51,398499522
2014-09-22,2371.45,2371.45,2355.28,2360.24,137091076
2014-09-23,2389.55,2409.53,2372.29,2383.52,353994595
2014-09-24,2366.1,2373.3,2328.79,2363.36,256817839
2014-09-25,2391.05,2401.23,2383.41,2385.47,147303327
2014-09-26,2401.43,2401.43,2358.51,2379.11,130762216
2014-09-29,2405.5,2415.81,2381.81,2390.32,479955918
2014-09-30,2390.44,2391.87,2356.19,2374.33,198583759
2014-10-01,2382.96,2382.96,2362.63,2367.53,355910030
2014-10-02,2365.17,2367.89,2317.53,2347.42,332030497
2014-10-03,2372.6,2383.79,2327.93,2352.96,387010192
2014-10-06,2349.7,2370.76,2340.34,2341.72,288966128
2014-10-07,2342.05,2367.63,2336.46,2340.25,388567615
2014-10-08,2370.48,2370.48,2330.12,2348.85,361254824
2014-10-09,2369.1,2369.1,2346.3,2348.65,198672178
2014-10-10,2377.15,2377.15,2345.63,2363.79,287029456
2014-10-13,2351.6,2368.87,2313.71,2348.07,304047562
2014-10-14,2357.81,2366.62,2324.57,2348.67,274657963
2014-10-15,2381.95,2381.95,2328.36,2362.38,435484453
2014-10-16,2378.35,2402.18,2350.14,2369.03,171589649
2014-10-17,2385.52,2389.23,2357.33,2366.85,198078884
2014-10-20,2368.72,2368.72,2347.2,2348.06,266467730
2014-10-21,2343.12,2363.79,2320.44,2330.98,497417476
2014-10-22,2347.39,2347.39,2310.84,2333.93,451082734
2014-10-23,2338.37,2344.4,2322.7,2330.33,401172152
2014-10-24,2347.35,2364.34,2319.61,2340.66,264135199
2014-10-27,2377.07,2395.85,2333.12,2363.31,326273239
2014-10-28,2392.6,2405.78,2337.81,2370.82,192544487
2014-10-29,2404.4,2406.16,2352.16,2386.37,379499316
2014-10-30,2419.31,2419.31,2364.43,2397.0,288653374
2014-10-31,2416.1,2416.1,2399.78,2403.77,165203018
2014-11-03,2396.11,2423.88,2381.88,2392.82,212088206
2014-11-04,2374.8,2379.96,2344.96,2371.8,256801275
2014-11-05,2357.33,2375.83,2352.35,2352.66,348162815
2014-11-06,2367.64,2373.25,2339.89,2367.09,221965765
2014-11-07,2399.61,2405.85,2381.45,2386.12,490049897
2014-11-10,2425.94,2425.94,2392.19,2407.8,132077081
2014-11-11,2421.02,2431.61,2401.14,2418.99,406541640
2014-11-12,2440.2,2447.78,2417.18,2426.03,452154288
2014-11-13,2452.0,2472.04,2416.84,2447.12,326121279
2014-11-14,2436.75,2439.25,2427.58,2429.86,475247225
2014-11-17,2418.69,2426.64,2375.04,2406.56,305718208
2014-11-18,2414.53,2442.92,2395.69,2409.03,210380495
2014-11-19,2450.81,2450.81,2407.69,2429.12,475583682
2014-11-20,2446.84,2450.34,2426.09,2428.73,433170280
2014-11-21,2438.56,2446.37,2413.39,2431.21,259223953
2014-11-24,2435.62,2448.79,2394.49,2419.75,353331432
2014-11-25,2434.39,2457.81,2424.97,2427.92,256791551
2014-11-26,2464.81,2472.57,2431.43,2447.24,182313790
2014-11-27,2457.71,2457.71,2412.04,2433.94,173579093
2014-11-28,2443.34,2443.34,2412.6,2429.37,309176927
2014-12-01,2423.29,2446.26,2411.6,2417.26,216534290
2014-12-02,2427.1,2427.1,2411.46,2414.24,479552977
2014-12-03,2412.4,2414.44,2405.89,2411.29,130370267
2014-12-04,2437.68,2452.31,2408.5,2428.95,198150493
2014-12-05,2452.7,2464.94,2407.85,2434.92,112898704
2014-12-08,2421.36,2434.01,2413.89,2418.01,388279897
2014-12-09,2438.54,2450.86,2416.37,2417.03,226590872
2014-12-10,2450.92,2450.92,2396.33,2426.95,199981940
2014-12-11,2453.42,2453.42,2422.5,2437.79,458479257
2014-12-12,2437.13,2437.13,2400.28,2414.28,300934110
2014-12-15,2418.22,2429.4,2383.48,2400.73,373740761
2014-12-16,2418.15,2418.15,2397.34,2411.37,464995105
2014-12-17,2440.92,2440.92,2410.43,2419.81,471148854
2014-12-18,2449.07,2450.89,2422.68,2443.37,268700433
2014-12-19,2477.35,2478.85,2451.72,2459.16,373463556
2014-12-22,2484.98,2489.07,2474.65,2480.45,252123198
2014-12-23,2489.61,2489.61,2451.91,2473.07,168132472
2014-12-24,2486.72,2486.72,2458.8,2484.18,213687199
2014-12-25,2513.97,2527.89,2490.2,2499.08,222861985
2014-12-26,2514.51,2546.82,2489.23,2511.58,337569932
2014-12-29,2506.91,2536.75,2481.18,2499.37,292027321
2014-12-30,2523.22,2556.88,2490.68,2522.73,383603943
2014-12-31,2509.8,2513.08,2472.98,2500.61,130384457
2015-01-01,2532.55,2535.98,2507.35,2509.27,192878341
2015-01-02,2519.21,2519.21,2481.24,2510.91,263052371
2015-01-05,2506.93,2514.69,2478.45,2492.18,168607829
2015-01-06,2533.69,2533.69,2488.44,2509.3,301652180
2015-01-07,2551.22,2558.94,2527.33,2532.68,245265932
2015-01-08,2547.52,2570.39,2516.12,2534.85,153375407
2015-01-09,2532.39,2559.13,2499.49,2524.25,449029284
2015-01-12,2532.95,2534.92,2498.77,2527.07,452862122
2015-01-13,2535.9,2547.82,2505.04,2516.18,367127097
2015-01-14,2516.01,2547.16,2497.47,2514.88,375008721
2015-01-15,2521.59,2532.27,2481.27,2501.55,395728310
2015-01-16,2490.49,2512.64,2459.29,2484.71,377557896
2015-01-19,2493.84,2498.68,2479.73,2490.68,422838215
2015-01-20,2515.45,2515.45,2490.3,2491.44,314839066
2015-01-21,2504.42,2515.02,2485.3,2502.24,331570908
2015-01-22,2543.23,2543.23,2502.46,2524.84,121659936
2015-01-23,2531.46,2553.3,2516.87,2531.16,237440365
2015-01-26,2513.01,2514.29,2483.17,2506.44,417290264
2015-01-27,2506.82,2506.82,2468.66,2483.89,181340855
2015-01-28,2505.65,2514.99,2473.89,2486.14,165194750
2015-01-29,2481.63,2485.5,2462.4,2473.29,372256598
2015-01-30,2460.72,2460.72,2436.6,2451.48,210947737
2015-02-02,2456.9,2464.25,2411.22,2443.25,283798296
2015-02-03,2458.35,2466.26,2414.69,2435.49,348569189
2015-02-04,2464.74,2464.74,2438.35,2455.46,434333655
2015-02-05,2467.01,2480.04,2444.76,2448.19,411840397
2015-02-06,2454.94,2467.16,2437.67,2438.23,145933317
2015-02-09,2452.76,2470.93,2421.18,2447.05,391803279
2015-02-10,2437.58,2452.84,2405.19,2424.96,195707274
2015-02-11,2422.26,2437.68,2402.74,2415.7,375674711
2015-02-12,2424.69,2429.88,2389.55,2418.12,494524230
2015-02-13,2420.76,2436.4,2401.69,2415.85,371538428
2015-02-16,2430.12,2430.12,2406.27,2406.42,204373093
2015-02-17,2414.59,2414.59,2410.62,2411.13,183655013
2015-02-18,2406.74,2406.74,2389.22,2389.97,420871814
2015-02-19,2412.88,2412.88,2376.51,2402.91,302541388
2015-02-20,2410.06,2410.06,2358.32,2390.61,417758888
2015-02-23,2392.15,2392.15,2342.28,2370.56,298036774
2015-02-24,2383.41,2383.41,2348.65,2368.36,429255603
2015-02-25,2388.87,2413.29,2352.68,2380.53,298417145
2015-02-26,2399.77,2413.05,2384.78,2397.78,163672656
2015-02-27,2389.96,2397.09,2368.29,2385.61,107630089
2015-03-02,2395.58,2403.09,2352.38,2378.49,398127120
2015-03-03,2391.59,2418.11,2354.84,2389.9,169991448
2015-03-04,2389.76,2389.94,2343.3,2378.93,105827762
2015-03-05,2376.05,2396.26,2352.61,2366.77,110251390
2015-03-06,2397.05,2405.86,2363.4,2375.35,103042989
2015-03-09,2371.56,2371.56,2343.43,2359.97,321926542
2015-03-10,2371.55,2395.1,2358.97,2369.21,220281481
2015-03-11,2390.58,2390.58,2351.62,2379.85,168051953
2015-03-12,2406.83,2410.94,2377.36,2398.76,111085101
2015-03-13,2428.52,2452.24,2380.56,2416.25,463048996
2015-03-16,2440.42,2453.51,2397.93,2432.16,176499535
2015-03-17,2422.61,2422.61,2390.45,2413.04,294608892
2015-03-18,2419.11,2430.11,2398.11,2414.45,237114199
2015-03-19,2424.08,2424.27,2386.62,2410.63,290660964
2015-03-20,2414.93,2425.59,2370.53,2395.05,336043625
2015-03-23,2381.78,2406.32,2355.01,2376.54,270675518
2015-03-24,2391.66,2404.97,2357.88,2372.95,446689385
2015-03-25,2409.08,2423.35,2352.12,2387.58,228803180
2015-03-26,2389.49,2399.2,2368.48,2389.46,289108550
2015-03-27,2387.62,2394.23,2382.48,2383.4,348264523
2015-03-30,2375.85,2380.31,2347.96,2364.7,455036262
2015-03-31,2361.34,2370.92,2338.41,2348.06,426050894
2015-04-01,2341.01,2345.42,2319.9,2335.55,384218067
2015-04-02,2348.1,2368.0,2339.65,2343.45,121324810
2015-04-03,2331.0,2332.56,2295.31,2321.97,128943458
2015-04-06,2345.05,2354.03,2317.97,2328.11,189920794
2015-04-07,2324.79,2324.79,2282.52,2312.62,249614246
2015-04-08,2329.02,2333.73,2294.5,2327.32,456738025
2015-04-09,2329.47,2355.43,2298.28,2325.56,443406716
2015-04-10,2344.04,2344.04,2332.12,2333.95,132016328
2015-04-13,2340.73,2340.73,2324.98,2336.45,101012560
2015-04-14,2339.33,2344.39,2312.03,2321.58,490979934
2015-04-15,2341.25,2341.25,2324.52,2326.63,431385337
2015-04-16,2351.42,2355.15,2320.69,2335.87,459509917
2015-04-17,2362.6,2367.35,2309.44,2340.68,260526129
2015-04-20,2340.22,2347.9,2302.04,2325.96,398156941
2015-04-21,2353.54,2358.84,2319.5,2340.79,313398085
2015-04-22,2340.5,2353.68,2292.55,2320.41,424080552
2015-04-23,2357.52,2357.52,2337.59,2342.24,290192930
2015-04-24,2359.67,2359.67,2319.73,2339.32,271640207
2015-04-27,2369.58,2387.22,2329.71,2361.85,175436543
2015-04-28,2370.64,2374.73,2337.03,2352.84,402899798
2015-04-29,2393.46,2393.46,2359.3,2371.77,488054837
2015-04-30,2395.2,2395.2,2368.12,2376.35,404876397
2015-05-01,2409.84,2409.84,2386.87,2391.71,280971926
2015-05-04,2393.65,2415.61,2351.44,2382.77,304167410
2015-05-05,2370.65,2386.29,2355.21,2365.58,222188195
2015-05-06,2371.74,2405.34,2355.11,2369.8,217742095
2015-05-07,2370.95,2389.87,2362.61,2363.32,455563073
2015-05-08,2369.19,2369.19,2347.3,2360.91,354732345
2015-05-11,2382.11,2382.11,2356.32,2371.76,489550720
2015-05-12,2368.94,2382.16,2343.18,2352.19,431412366
2015-05-13,2337.94,2337.94,2301.0,2329.02,458093773
2015-05-14,2318.57,2320.27,2309.31,2316.31,176072555
2015-05-15,2308.68,2308.68,2283.82,2302.11,286844366
2015-05-18,2311.34,2311.34,2293.36,2305.84,313796597
2015-05-19,2313.78,2318.89,2279.07,2307.14,174595881
2015-05-20,2335.07,2355.69,2321.85,2330.04,333611662
2015-05-21,2334.03,2340.85,2307.3,2320.05,321482977
2015-05-22,2330.23,2330.41,2302.0,2310.99,250334662
2015-05-25,2314.45,2318.17,2291.21,2313.31,208688591
2015-05-26,2320.46,2332.67,2311.03,2317.58,484446655
2015-05-27,2302.33,2302.33,2266.34,2295.22,295458906
2015-05-28,2321.73,2321.73,2299.52,2300.36,222798242
2015-05-29,2325.12,2330.24,2276.33,2307.86,285672929
2015-06-01,2317.78,2317.78,2288.89,2299.8,387528070
2015-06-02,2317.09,2317.09,2292.55,2300.89,436539589
2015-06-03,2311.83,2328.86,2299.33,2301.05,406385871
2015-06-04,2291.1,2301.99,2276.8,2290.51,237999662
2015-06-05,2286.82,2297.43,2261.49,2273.7,157690129
2015-06-08,2290.79,2303.24,2248.28,2276.82,377399965
2015-06-09,2281.97,2282.59,2272.61,2281.36,326216017
2015-06-10,2285.46,2308.68,2245.27,2277.45,180203757
2015-06-11,2293.52,2326.53,2267.61,2292.54,147332001
2015-06-12,2315.75,2315.75,2295.63,2297.89,157273264
2015-06-15,2305.56,2317.85,2278.63,2299.57,285551340
2015-06-16,2330.75,2335.11,2310.13,2316.54,177959394
2015-06-17,2301.81,2316.31,2277.0,2296.52,173223978
2015-06-18,2319.57,2324.97,2276.14,2304.92,148593170
2015-06-19,2334.41,2334.41,2302.13,2317.08,486971208
2015-06-22,2328.3,2341.0,2299.49,2325.49,141441228
2015-06-23,2353.33,2377.08,2321.05,2347.73,467564739
2015-06-24,2376.21,2392.11,2341.87,2370.1,458324437
2015-06-25,2363.34,2395.92,2361.27,2362.02,415397128
2015-06-26,2384.78,2405.48,2343.02,2377.4,128010666
2015-06-29,2390.12,2390.12,2346.53,2376.1,498393245
2015-06-30,2408.36,2415.46,2391.86,2395.35,314993475
2015-07-01,2397.99,2415.72,2364.29,2384.19,117615315
2015-07-02,2399.69,2400.0,2359.08,2386.24,112651713
2015-07-03,2412.09,2429.03,2373.57,2405.94,481636270
2015-07-06,2444.99,2444.99,2411.13,2428.6,421186667
2015-07-07,2461.36,2461.36,2410.01,2443.18,209007410
2015-07-08,2446.14,2448.51,2416.86,2439.2,101691296
2015-07-09,2468.66,2475.29,2424.43,2445.71,236154124
2015-07-10,2469.81,2469.81,2453.77,2453.86,443104447
2015-07-13,2441.16,2448.3,2432.35,2437.75,138005183
2015-07-14,2458.27,2458.27,2404.42,2440.18,161008291
2015-07-15,2448.49,2473.29,2442.11,2446.41,178138178
2015-07-16,2481.08,2481.08,2443.91,2459.34,371252206
2015-07-17,2482.01,2493.16,2427.88,2458.94,313171675
2015-07-20,2494.48,2494.48,2471.98,2472.68,376177117
2015-07-21,2477.2,2480.95,2453.29,2458.85,298738481
2015-07-22,2446.91,2446.91,2424.05,2436.5,268368857
2015-07-23,2442.36,2442.36,2396.8,2428.41,110846312
2015-07-24,2441.33,2468.5,2427.95,2440.31,112198117
2015-07-27,2436.92,2440.68,2409.55,2434.83,374987242
2015-07-28,2454.74,2467.34,2420.59,2449.18,222764427
2015-07-29,2470.71,2482.37,2424.0,2455.39,168552741
2015-07-30,2492.3,2500.17,2442.36,2477.82,486686531
2015-07-31,2467.23,2479.97,2431.19,2460.3,102207648
2015-08-03,2461.41,2463.23,2419.19,2453.72,210243534
2015-08-04,2486.24,2490.95,2457.31,2466.78,133887119
2015-08-05,2458.03,2458.03,2438.58,2456.15,441827600
2015-08-06,2445.19,2459.29,2421.76,2436.38,484012509
2015-08-07,2440.28,2467.29,2413.11,2433.25,366177564
2015-08-10,2452.61,2452.61,2410.26,2436.11,443940029
2015-08-11,2467.53,2467.53,2421.27,2443.28,116050300
2015-08-12,2455.55,2455.55,2405.53,2438.15,394289494
2015-08-13,2455.63,2474.95,2431.24,2441.94,127287878
2015-08-14,2443.55,2444.46,2404.49,2429.61,493352922
2015-08-17,2426.73,2426.73,2388.77,2407.39,193281296
2015-08-18,2418.39,2420.85,2386.12,2416.43,285096787
2015-08-19,2439.08,2447.12,2396.08,2416.87,477791653
2015-08-20,2452.42,2452.42,2421.93,2436.48,194244684
2015-08-21,2460.01,2469.08,2454.02,2457.82,479323670
2015-08-24,2474.58,2493.3,2431.26,2466.61,184788043
2015-08-25,2509.01,2509.01,2457.83,2485.26,227209156
2015-08-26,2492.65,2494.57,2465.25,2485.98,489351642
2015-08-27,2507.38,2522.87,2494.69,2499.46,214051174
2015-08-28,2492.64,2508.45,2450.1,2475.96,165815141
2015-08-31,2493.81,2493.81,2443.79,2477.62,102911372
2015-09-01,2501.1,2501.1,2469.27,2485.01,180416934
2015-09-02,2490.36,2490.36,2435.2,2469.76,313525864
2015-09-03,2492.41,2492.41,2446.14,2477.15,101141957
2015-09-04,2511.51,2511.51,2493.96,2500.28,296568430
2015-09-07,2529.85,2538.52,2484.18,2511.08,120672699
2015-09-08,2536.72,2536.72,2503.05,2526.14,137211940
2015-09-09,2524.58,2530.86,2500.88,2523.24,381173962
2015-09-10,2543.39,2575.41,2530.65,2537.91,465149034
2015-09-11,2555.67,2560.35,2522.13,2535.25,132657483
2015-09-14,2551.1,2584.5,2536.37,2546.93,124999716
2015-09-15,2574.04,2582.83,2543.0,2569.4,167611538
2015-09-16,2592.8,2593.72,2555.47,2588.54,215502889
2015-09-17,2600.46,2605.41,2558.83,2582.56,289898636
2015-09-18,2602.86,2631.89,2595.61,2601.85,371177454
2015-09-21,2598.91,2598.91,2565.55,2585.04,373539101
2015-09-22,2593.38,2593.38,2575.8,2575.87,259840927
